	Type de signalement	Date	Heure	Rue	Ville	lat	lon	Type de vélo	Le vélo était-il stationné dans un lieu clos ?	Le vélo était-il attaché ?
88	Vélo volé	14/09/2020	15:50	Rue Georges Clémenceau 	Nantes	47.21932377047348	 -1.5467444185125543	VTT	Non	Oui
89	Vélo volé	14/09/2020	18:30	Rue de la Gare	Rezé	47.19361022716113	 -1.5494564068787804	VTC	Oui, un local collectif	Oui
90	Vélo volé	03/09/2020		Rue Joseph et Lucien Leclerc	Rezé	47.17979250311009	 -1.5468880492060455	VTC	Oui, un local privatif	Oui
91	Vélo volé	15/09/2020	21:00	Rue Lambert	Nantes	47.21526356656725	 -1.5521393222244126	VTC	Non	Non
92	Vélo volé	16/09/2020		Rue Dufour 	Nantes	47.22565070186136	 -1.5443883743295612	VTT	Non	Oui
93	Vélo volé	18/09/2020	14:00	La Seilleraye	Carquefou	47.3008161825141	 -1.4208780542714177	Vélo à assistance électrique		
94	Vélo volé	17/09/2020	23:00	Rue d'Allonville	Nantes	47.22161005436816	 -1.5360131854650267	Vélo hollandais	Non	Non
95	Vélo volé	18/09/2020	02:00	Rue d'Allonville	Nantes	47.22161005436816	 -1.5360131854650267	Vélo à assistance électrique	Non	Oui
96	Vélo volé	19/09/2020	23:00	Place St Pierre	Nantes	47.218364866252095	 -1.5511515687621131	Vélo de route	Non	Oui
97	Vélo volé	12/09/2020	21:30	Place Delorme	Nantes	47.21505039161494	 -1.563629145493312	VTC	Non	Oui
98	Vélo volé	20/09/2020	16:00	Boulevard Jules Verne 	Nantes	47.24188572156856	 -1.5288986766841792	VTC	Non	Oui
99	Vélo volé	20/09/2020	19:00	Rue de Pontaven	Nantes	47.26619013507349	 -1.5775710515587227	Vélo à assistance électrique	Oui, un local collectif	Oui
100	Vélo volé	20/09/2020	19:00	Rue de Pontaven	Nantes	47.26619013507349	 -1.5775710515587227	Vélo à assistance électrique	Oui, un local collectif	Oui
101	Vélo volé	09/05/2020	14:10	Allée brancas	Nantes	47.21373675840289	 -1.5563885515601181	VTC	Non	Oui
102	Vélo volé	21/09/2020	19:30	Boulevard Pierre de Coubertin	Nantes	47.22921823264192	 -1.588307051060615	VTC	Oui, un local collectif	Non
103	Vélo volé	22/09/2020	22:00	Place Viarme	Nantes	47.22126007273489	 -1.563023779398301	Vélo de route	Non	Oui
104	Vélo volé	22/09/2020	01:00	Rue des Olivettes	Nantes	47.21216192484335	 -1.5500895719749894	VTC	Oui, un local privatif	
105	Vélo volé	24/09/2020	18:30	Parc Floral Roseraie	Nantes	47.26269057359064	 -1.5286377675446097	VTC	Non	Oui
106	Vélo volé	24/09/2020	21:00	Paul Bellamy	Nantes	47.22652066164012	 -1.5602861436371085	Vélo de route	Oui, un local collectif	Oui
107	Vélo volé	25/09/2020	12:00	Boulevard Babin Chevaye	Nantes	47.20548034677908	 -1.5527538881790646	Vélo à assistance électrique	Non	Oui
108	Vélo volé	27/09/2020	00:01	Allée Flesselles	Nantes	47.21423740384694	 -1.5548302473492053	Vélo à assistance électrique	Non	Oui
109	Vélo volé	27/09/2020	07:30	Rue Colonel Boutin	Nantes	47.223472547230415	 -1.5489218687619566	Vélo de route	Oui, un local privatif	Non
110	Vélo volé	29/09/2020		Rue arthur III 	Nantes	47.20641086113886	 -1.5620420859645519	VTC	Non	Oui
111	Vélo volé	26/09/2020		Machine de l’île, Boulevard Léon Bureau	Nantes	47.206189591572546	 -1.5646341185128763	Vélo de route	Non	Oui
112	Vélo volé	02/09/2020	11:20	Place Paul Emile Ladmirault	Nantes	47.21366851412459	 -1.5645348626954723	Vélo à assistance électrique	Non	Oui
113	Vélo volé	02/10/2020	11:30	Place Paul Emile Ladmirault	Nantes	47.21366851412459	 -1.5645348626954723	Vélo à assistance électrique	Non	Oui
114	Vélo volé	30/09/2020		Gare Nord	Nantes	47.21777463048178	 -1.5430172240802438	VTC	Non	Non
115	Vélo volé	14/09/2020	22:00	Rue de la Verrerie	Nantes	47.2102774690381	 -1.566974187820346	VTT	Non	Oui
116	Vélo volé	05/10/2020	01:00	Rue Blanchet	Rezé	47.17240355837106	 -1.5410710050234455	VTT	Oui, un local privatif	Oui
117	Vélo volé	06/10/2020	18:00	Rue Voltaire	Nantes	47.21206810131446	 -1.5654861063791852	VTC	Non	Oui
